Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.106594177481587,3.5797614871974743,2851,39.38047699052964,0
Arlinda Hill,3.0,3.6,243,42.2535,1648164
Carl Covatto,3.0,3.6,221,50.0,1024904
Pushpa Wijesinghe,3.5,3.1,124,60.0,1036047
Jose Menendez,2.3,4.2,114,25.0,534677
William Graves,4.6,2.9,99,96.7742,2064752
Tuna Yildirim,4.2,3.6,95,83.3333,2023241
Damien Easson,3.2,3.1,73,40.625,1660795
Ricardo Alarcon,2.7,3.8,69,17.8571,756428
Darya Dolenko,1.7,3.4,69,24.4898,1913987
Robert Culbertson,4.2,3.2,54,52.9412,171019
Francisco Solis,2.3,3.8,53,26.3158,398540
Kong-Thon Tsen,2.4,3.1,53,31.1111,1956285
Ralph Chamberlin,2.4,4.1,49,-1.0,71726
Stuart Lindsay,2.8,3.3,42,0.0,519058
Norman Fuchs,2.1,3.5,39,-1.0,617029
Arunima Singh,3.3,3.3,37,54.0541,2398761
Alan Cooney,2.4,3.9,36,-1.0,1859719
Scott MacDonald,4.1,2.9,36,88.8889,2395516
Michael Thorpe,3.9,3.5,35,-1.0,1350323
Otto F. Sankey,3.6,3.1,33,-1.0,268645
Peter Rez,2.6,3.4,31,53.8462,173372
Antia Botana,4.4,3.1,30,93.3333,2540805
Jeffery Drucker,3.6,4.5,30,0.0,479640
Fu Tang,2.4,3.0,29,-1.0,1172787
John Shumway,3.8,3.1,29,-1.0,1329803
Luanna Ortiz,1.7,3.4,28,-1.0,392487
Brian Steinkamp,4.3,4.0,27,72.0,2096177
Joseph Comfort,1.5,4.5,26,-1.0,355104
Richard Lebed,4.1,3.8,25,80.0,685163
Mike Treacy,4.9,2.7,24,100.0,547250
Armen Hakhoyen,1.5,4.5,24,16.6667,777095
Tingyong Chen,3.1,3.0,24,75.0,1867088
Saugata Chatterjee,2.3,2.9,24,-1.0,1972953
Eric Menu,2.1,4.8,23,26.087,2288714
Armen Hakhoyan,1.6,4.1,23,12.5,2008581
Quan Qing,3.4,2.9,22,62.5,1815216
Robert Ros,2.8,3.5,22,50.0,1106180
Ross Tucker,3.7,3.7,21,66.6667,2186563
