Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.025531914893617,4.068085106382979,94,76.64893617021276,0
Sheldon Cooper,2.8,4.0,29,80,1538116
Sterl Phinney,2.3,4.7,7,100,349673
Alan Weinstein,3.3,3.3,4,-1,648329
Leonard Hofstadter,4.1,2.8,4,100,1824042
Larry Fleinhardt,4.2,3.7,3,-1,756603
Michael Cross,3.3,4.0,2,-1,923459
Kip Thorne,5.0,3.0,2,-1,1661728
Kerry Vahala,5.0,3.0,1,-1,1165454
Anthony Hernandez,4.5,3.0,1,-1,1698269
Barry Kripke,2.0,3.0,1,-1,1927545
Ryan Patterson,5.0,2.0,1,-1,2050518
Hannalore Gerling-Dunsmore,5.0,5.0,1,100,2122564
Samaya Nissanke,1.0,2.0,1,0,2161521
Sadi Ayhan,5.0,4.0,1,100,2451917
John Pellam,0.0,0.0,0,-1,1164156
Sean Carroll,0.0,0.0,0,-1,2019830
Yanbei Chen,0.0,0.0,0,-1,2708439
