Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.4175324675324674,3.496103896103896,154,53.60607012987013,0
Stephen Garoff,2.4,4.1,21,66.6667,468269
Roy Briere,3.2,3.6,14,100,1224433
George Klein,3.3,3.1,11,50,1452600
Robert Swendsen,3.7,4.1,11,-1,400206
Sara Majetich,2.4,4.2,9,100,1145079
Reinhardt Schumacher,3.6,3.4,9,-1,361143
Robert F. Sekerka,2.4,3.9,8,-1,127930
Jeffrey Peterson,2.2,3.6,7,-1,401022
Hael Collins,4.6,3.7,7,80,2047961
Curtis Meyer,4.3,3.0,6,100,1355146
Kristina Woods,2.4,3.2,6,-1,1257452
Markus Deserno,5.0,2.8,4,100,1639406
Manfred Paulini,3.7,4.3,4,50,838961
Brian Quinn,4.0,4.0,3,0,1332135
Michael Widom,2.0,3.0,3,-1,481415
Gregg Franklin,5.0,2.0,2,-1,1434954
Tiziana Di Matteo,3.5,3.0,2,100,2136590
Diane Turnshek,3.0,3.0,1,0,2452648
John Alison,5.0,4.0,1,100,2488015
Robert Suter,5.0,3.0,1,-1,1364848
Matthew Walker,4.5,1.0,1,-1,2090712
Colin Morningstar,0.0,0.0,0,-1,2258316
Tina Kahniashvili,0.0,0.0,0,-1,2671048
Mathias Loesche,0.0,0.0,0,-1,2684595
Simranjeet Singh,0.0,0.0,0,-1,2735455
Helmut Vogel,0.0,0.0,0,-1,2064672
Riccardo Penco,0.0,0.0,0,-1,2777446
