Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.4736033519553065,3.4199720670391067,716,55.389086452513965,0
Diana Driscoll,3.0,3.7,73,38.4615,60398
Craig Copi,3.1,4.2,46,50,103616
Giuseppe Strangi,3.3,3.5,43,50,1801385
Robert Brown,4.6,2.8,41,100,16711
Harsh Mathur,4.7,2.3,41,100,954112
Gary Chottiner,2.7,3.4,38,47.0588,191996
Glenn Starkman,3.6,3.8,38,80,17599
Jesse Berezovsky,2.5,3.8,32,40.625,2168134
Kenneth Kowalski,1.5,4.1,28,-1,206559
Charles Rosenblatt,3.2,3.6,28,25,16516
Peter Kernan,2.8,3.7,20,50,606972
Cory Christenson,4.4,2.3,16,-1,1887296
Robert Deissler,1.9,2.9,14,-1,1347413
Philip Taylor,4.1,3.5,12,75,2016737
Jesse Kinder,3.0,3.6,11,-1,1650549
Benjamin Monreal,2.6,3.5,9,22.2222,2298409
Daniel Akerib,3.7,2.7,9,-1,291293
Jie Shan,1.8,3.3,9,-1,1426406
Sri Rahm,3.7,4.1,8,-1,634397
Hiren Patel,3.6,3.3,7,57.1429,2746493
Gavin A Buxton,3.1,3.0,6,-1,1062057
ED Caner,3.3,2.8,6,33.3333,1849058
Anuj Saini,2.4,3.4,5,20,2725024
Kathleen Kash,3.2,2.6,5,0,888837
Thomas Shutt,3.6,3.4,5,-1,936987
Rolfe Petschek,3.0,4.0,5,-1,640241
John Ruhl,4.0,3.4,5,100,1365111
Xuan Gao,3.5,3.0,5,100,1307855
Michael Martens,4.7,2.5,4,100,1935906
Shulei Zhang,4.5,3.5,2,100,2680707
Tim Atherton,4.8,4.0,2,-1,1351300
Walter Lambrecht,2.5,2.0,2,0,1243387
Lydia Kisley,5.0,3.5,2,100,2636852
Kurt Hinterbichler,5.0,4.0,1,100,2308745
Michael Hinczewski,5.0,1.0,1,-1,2074351
Kenneth Singer,0.0,0.0,0,-1,948617
Pavel Fileviez Perez,0.0,0.0,0,-1,2464841
