Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,4.105882352941176,2.6411764705882352,17,30.843129411764707,0
Latha Venktaramen,2.2,3.2,4,33.3333,1606937
Richard Sanchez,4,3.0,1,100,2509676
Karl Landheer,4,4.0,1,100,2567785
Tanya Zelevinsky,4,3.0,1,100,2645160
Leopold Brandl,4,5.0,1,100,2774934
Richard Friedberg,0,0.0,0,-1,423274
John Parsons,0,0.0,0,-1,679132
Amber Miller,0,0.0,0,-1,957157
Edward Nickoloff,0,0.0,0,-1,1010061
Dan Kabat,0,0.0,0,-1,1136774
A Kabat,0,0.0,0,-1,1136777
Ana Garcia,0,0.0,0,-1,2558327
Jeremy Dodd,0,0.0,0,-1,2765737
