Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,4.164062500000001,3.4515625,192,80.3970765625,0
Jim Eckert,3.9,3.2,34,100,144792
Peter Saeta,3.7,3.8,19,40,313378
Ann Esin,3.6,3.9,19,100,188029
Chih-Yung Chen,3.6,3.8,16,-1,509410
Gregory Lyzenga,4.4,3.2,13,100,768377
John Townsend,4.2,2.8,13,66.6667,188034
Thomas Donnelly,4.9,3.0,9,100,1244755
Sharon Gerbode,5.0,3.4,8,100,1993329
Mark Ilton,4.2,2.8,6,71.4286,2417733
Elizabeth Connolly,4.4,3.2,5,100,1712715
Brian Shuve,5.0,3.2,4,100,2430906
Theresa Lynn,4.5,3.0,3,-1,1146835
Jason Gallicchio,2.5,4.0,2,50,2484561
Nicholas Breznay,5.0,4.0,1,100,2295254
David Donnelly,0.0,0.0,0,-1,2484195
Tom Helliwell,0.0,0.0,0,-1,2736814
