Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.8888888888888893,3.343386243386244,189,64.06525661375662,0
Gordon Freeman,4,3.6,17,100,547286
Stanley Kowalski,1.8,3.8,16,0,287926
Eric Hudson,4.8,3,15,-1,186507
John Belcher,3.2,3.4,12,80,398125
Wolfie Ketterle,4.4,3.5,11,100,87635
Barton Zwiebach,5,3.2,10,100,562630
Max Tegmark,4.5,2.8,8,75,761785
Paul Schechter,2.9,3.3,7,-1,1083753
Tom Greytak,2.1,3.7,7,100,245687
Robert Jaffe,5,3.2,6,100,562629
Alan Guth,4.2,2.8,6,75,1139554
Jesse  Thaler,4,4,5,66.6667,2065253
Peter Fisher,4,3,5,100,144653
Wit Buzca,5,3.5,4,100,613976
Saul Rappaport,4.5,2.8,4,100,345798
Bernd Surrow,4,3,4,-1,1025727
Bruno Coppi,1,3.7,3,0,669311
Enectali Feliciano,4,4,3,100,955581
Alan Adams,4.5,3.3,3,100,1177065
Xiao-Gang Wen,2.8,3.5,2,0,1095028
Yen-Jie Lee,4.5,3.5,2,100,1907037
Jolyon Bloomfield,4,4,2,-1,1846490
Min Chen,3,3,2,-1,812008
Hong Liu,4.8,2.5,2,-1,1139536
Mehran Kardar,3,5,1,0,1918547
Neil Gershenfeld,1,3,1,0,2143893
Ibrahim Cisse,1,3,1,0,2495680
Mohamed Abdelhafez,5,3,1,100,2738610
Gordan Freeman,5,4,1,-1,2079919
David Kaiser,4,4,1,-1,1585498
Neil Gerschenfeld,1,3,1,0,2268510
Elizabeth Wood,5,3,1,-1,1687603
Riccardo Comin,0,0,0,-1,2723813
Jacob Stoehr,0,0,0,-1,2766678
Ryan Lang,0,0,0,-1,2762892
William Detmold,0,0,0,-1,2249869
Martin Zwierlein,0,0,0,-1,1725303
Allen Adams,0,0,0,-1,2581726
Jeremy England,0,0,0,-1,2489525
Wolfgang Ketterle,0,0,0,-1,2371777
Malcolm Croft,0,0,0,-1,2273545
Raymond Ashoori,0,0,0,-1,2489418
