Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,4.12139175257732,2.9319587628865977,388,83.50876726804124,0
Gilbert Strang,4.8,2.3,61,93.5484,800239
Denis Auroux,4.8,2.6,54,92.3077,334553
Arthur Mattuck,4.4,3.5,54,90,125151
Alar Toomre,2.3,3.5,21,75,134389
Haynes R. Miller,3.0,3.5,20,80,144636
Michael Artin,4.7,3.3,17,100,255193
Hartley Jr. Rogers,3.6,2.4,14,100,144641
David Benney,4.0,1.7,11,-1,275416
John Bush,3.8,2.9,9,100,342455
Michael Sipser,5.0,3.0,8,100,99389
Gigliola Staffilani,3.7,3.3,6,100,649764
Steven Johnson,2.6,4.2,5,66.6667,1084038
Craig Watkins,1.8,4.2,5,100,784578
William Minicozzi,3.9,2.8,4,100,1867667
Bjorn Poonen,4.9,2.7,4,100,1527668
Ralph Selig,4.8,3.2,4,100,1698694
Ben Brubaker,3.7,4.0,3,-1,1259688
Igor Pak,5.0,3.0,3,-1,702502
Paul Seidel,3.4,3.7,3,0,1478771
Alex Postnikov,2.8,5.0,2,0,1558773
Jeremy Orloff,5.0,1.0,2,-1,784579
Richard Stanley,4.5,4.0,2,-1,1040890
Davesh Maulik,5.0,2.0,1,100,2523272
James McKernan,4.5,3.0,1,-1,1668988
Larry Guth,4.0,4.0,1,0,2760193
Roman Bezrukavnikov,3.5,5.0,1,-1,1982604
William Hunting,4.0,3.0,1,100,2283278
Yufei Zhao,5.0,3.0,1,100,2282381
Kevin Park,5.0,4.0,1,100,2173304
Martin Bazant,0.0,0.0,0,-1,2462266
Micky Rosa,0.0,0.0,0,-1,2404531
Lawrence Guth,0.0,0.0,0,-1,2526435
Hung Cheng,0.0,0.0,0,-1,1657704
Victor Kac,0.0,0.0,0,-1,1544525
Pavel Etingof,0.0,0.0,0,-1,2303103
Yan Zhang,0.0,0.0,0,-1,2264758
Alan Edelman,0.0,0.0,0,-1,2235944
Abhinav Kumar,0.0,0.0,0,-1,1836504
