Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,2.61578947368421,3.782406015037592,665,34.04114631578947,0
Chuck Hasty,2.5,4.3,90,-1,552549
Bruce Ackerson,2.2,3.7,44,77.7778,241291
Donna Bandy,2.1,4.3,40,20,830027
Saki Khan,2.4,3.8,31,27.5862,2075034
Joe Haley,4.4,3.1,30,100,2007938
Shaikh Saad,2.8,3.9,25,52,2318448
Gil Summy,3.5,3.1,22,85.7143,950353
Donghua Zhou,1.6,4.5,22,100,1750896
Eric Benton,2.0,3.8,21,25,1071158
Mario Borunda,2.9,3.8,21,50,1907170
Jacques Perk,1.3,4.8,21,0,227872
Ahmed Ismail,3.5,4.4,19,68.4211,2642182
Aihua Xie,1.6,3.9,18,16.6667,929530
Solmaz Bastani,4.8,2.6,18,100,2544683
Emrah Turgut,2.7,3.7,15,46.6667,2518432
Kaladi Babu,3.5,2.9,13,-1,440636
Flera Rizatdinova,1.4,3.6,12,0,1284409
Andrew Yost,3.5,3.5,11,72.7273,2625060
Mayukh Lahiri,2.5,4.2,10,20,2635387
Dorival Goncalves,4.5,3.5,10,90,2670190
James Harmon,4.3,1.9,7,-1,1357039
Alexander Khanov,1.9,4.6,7,0,1623793
Satyanarayan Nandi,4.8,3.2,6,-1,875382
Robert Hauenstein,3.1,2.7,6,-1,604999
Derek Meyers,3.4,2.0,5,60,2626263
Jongmin Cho,3.6,2.8,5,60,2323181
John Mintmire,1.6,3.6,5,20,2289467
Eduardo Yukihara,3.4,3.8,4,-1,950362
Yin Guo,4.0,2.7,3,-1,950361
Timothy Gustafson,4.0,4.5,2,50,2475819
James Wicksted,4.5,3.5,2,-1,592084
Yingmei Liu,4.0,3.0,1,100,2258279
Girish Agarwal,2.5,4.0,1,-1,1576638
David McIlroy,5.0,3.0,1,100,2773022
Brian Leininger,0.0,0.0,0,-1,2756956
Paul Smith,0.0,0.0,0,-1,2248445
Bret Flanders,0.0,0.0,0,-1,950359
