Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.245771248688353,3.1989926547743974,4765,32.68453292759707,0
Rohan Jayasundera,4.8,3.3,168,90,16557
Yildirim Aktas,2.3,4.4,163,15,5542
Chris O'Donovan,2.3,4,163,12.5,44377
Frances Bates,2.9,3.1,112,-1,42333
Juliana Carvalho,2.1,3.9,112,14.2857,27896
Gary Diver,2.6,3.3,108,-1,32488
Margaret Buckby,4.0,2.4,104,63.1579,33424
Howard Trottier,4.0,2.9,103,57.1429,21620
Alfredo Louro,3.0,2.5,101,-1,39554
Gay Stewart,2.8,2.9,96,-1,4656
Stanley Jeffers,2.2,3.7,93,-1,14033
William van Wijngaarden,3.0,3.8,90,60,25854
Frederick Phelps,1.6,4.4,89,-1,25089
Ian Lovatt,1.8,4,89,22.7273,43033
Lui Lam,2.2,2.9,87,42.8571,26843
Orla Aaquist,3.0,3.1,85,62.5,12094
Ivan Schuller,2.5,3.2,78,50,7853
Paul Delaney,4.5,2.4,77,75,13651
Kathyrn Svinarich,3.9,3.4,77,-1,23112
John Eldridge,4.4,2.2,76,-1,28890
Uma Ramabadran,3.1,3.1,74,100,20955
Gunter Scholz,2.9,3.3,74,21.4286,9859
Ivan Kadar,2.5,3,72,-1,18652
Prem Vaishnava,2.6,3.3,68,100,22867
Steven Barnes,2.1,4.4,65,-1,20506
Jaymie Matthews,4.1,2.6,65,60,42279
Michael Cobb,3.6,2.3,65,34.7826,22350
Linwood L. Lee,3.1,3.5,60,50,7421
Dan Ludwigsen,4.1,3.1,60,0,34040
Neil McKay,3.0,3.4,59,-1,24564
Henry Povolny,3.2,4,56,-1,42299
"Richard ""Bart"" Hicks",2.6,3.6,54,-1,21849
Douglas Brown,2.6,4.2,53,0,20702
Mark Utlaut,3.8,3,50,66.6667,11263
Angela Bickford,4.4,2,49,100,15908
Bernd Simson,2.2,3.5,45,16.6667,31821
Wladek Kedzierski,2.7,2.4,44,37.5,24023
Jeff Wragg,4.4,3.2,44,100,14869
Ray Penner,3.7,3,43,75,36058
Karen Kolehmainen,2.8,3.4,42,0,20255
Nick Balaskas,4.8,1.6,41,-1,25446
Douglas Dunham,4.6,2.8,38,100,26287
Bryan Latta,3.0,2.9,38,100,42234
Glenn Starkman,3.6,3.8,38,80,17599
Thomas Callaway,3.6,2.7,37,33.3333,47358
Claudio Campagnari,3.3,3.1,37,100,15060
Bahram Roughani,3.7,2.8,36,-1,23235
John Shaw,2.5,3.6,36,-1,16300
Marek Wartak,2.2,3.2,36,50,13330
Kandiah Manivannan,2.8,2.6,35,-1,36439
Salam Tawfiq,2.5,4,34,-1,30788
Paul Angiolillo,4.4,2.9,33,100,25396
Donna Strickland,2.3,4.2,32,0,22730
Eugene Zaremba,3.8,4.2,32,-1,45386
Bob Sedlock,4.6,2.6,32,-1,42711
Robert Zimmerman,4.0,2.3,32,-1,4990
Bob Hawkes,4.8,2.4,31,-1,31602
R Serbanescu,3.6,3,31,85.7143,10971
John Vanderkooy,3.7,3.3,30,-1,10588
David Measday,3.2,2.4,28,-1,42336
Sasha Koustov,4.3,3.1,27,100,36692
Sophia Moore,1.5,4.5,27,-1,25661
Chung Ngoc Leung,3.3,3.9,26,-1,20411
MJ Hudson,3.0,3.1,24,-1,16851
Peter Dawson,4.0,3.4,23,-1,42579
Michael Day,4.7,2.4,23,100,45861
Richard Mancuso,4.4,2.9,22,-1,27768
George McGuire,4.8,2.1,22,-1,43502
James Forrest,2.8,3.4,22,0,14285
Lawrence Mead,3.7,3.1,22,-1,25817
Christopher De Pree,3.4,3.3,21,100,13768
Abdelhaq Hamza,2.6,4.5,21,-1,30598
Gerald A. Royce,3.6,2.1,20,-1,47460
Mohammad Alam,2.1,2.8,20,-1,9047
Edward Mathie,3.4,3.3,19,-1,29629
Madan Varma,2.1,4.3,18,100,8668
Dave Patton,4.6,1.9,18,100,19029
Ross Baker,4.5,1.9,18,-1,35476
Kayll W Lake,4.2,4.1,17,-1,35145
Sid Rudolph,2.7,3.8,17,-1,16773
Donald Mountcastle,2.6,4.1,16,-1,8604
Nader Mobed,4.6,3,15,-1,42680
Daniel Ou-Yang,2.8,2.7,15,-1,10392
James Benbrook,2.7,4.4,15,-1,20946
Mohamed Azzouz,3.1,2.5,15,-1,29919
Jeff Hutter,4.2,2.4,15,0,39661
Pedro Goldman,4.9,1.5,13,-1,28022
Robert Mayanovic,4.3,3.6,13,-1,17778
Jim Jury,4.3,2.1,13,-1,46661
Rick Swanson,4.3,3.7,13,100,47028
Henry Glyde,2.7,3.2,12,-1,29584
Garth Huber,3.1,3.7,12,-1,29389
Daniel Tonn,3.2,2.5,9,50,3442
Ron Cundall,3.3,4,9,-1,47043
Bruce Ivey,3.7,2.9,8,-1,23719
George Lolos,3.2,3.5,8,-1,29315
Kimberly Strong,3.8,2.4,8,-1,17364
Zisis Papandreou,4.7,2.8,6,100,29517
Cliff Cavanaugh,4.4,2.3,6,-1,46310
Julia Yeomans,3.8,4,4,100,857685
Fabian Essler,3.5,3.5,2,50,2635677
Andre Lukas,5.0,2.5,2,100,2418717
Jonathon Hodby,1.0,5,1,-1,889731
Katherine Blundell,3.0,4,1,0,2418715
Moritz Reide,3.0,3,1,0,2418712
Daniel Faraday,5.0,1,1,100,1370460
John Magorrian,0.0,0,0,-1,2446008
