Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,4.553571428571429,3.1214285714285714,28,13.428571428571429,0
William Bialek,4.6,3.2,9,-1,791066
Daniel Marlow,4.7,2.8,4,100,340943
David Huse,3.8,4.0,4,-1,971629
Joseph Fowler,4.0,4.0,1,-1,1451370
Silviu Pufu,4.0,4.0,1,-1,2093699
Neta Bahcall,0.0,0.0,0,-1,1952483
Kelvin Mei,0.0,0.0,0,-1,2108512
Edward Witten,0.0,0.0,0,-1,2286779
Peter Meyers,0.0,0.0,0,-1,2358250
Cristiano Galbiati,0.0,0.0,0,-1,2358251
Robert Austin,0.0,0.0,0,-1,2464537
Michael Romalis,0.0,0.0,0,-1,2575419
Nathaniel Fisch,0.0,0.0,0,-1,2607450
