Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.1730311355311356,3.3347527472527463,2184,52.085273763736254,0
Craig Miller,2.5,3.1,136,34.0909,271662
Buster Dunsmore,4.5,3.0,101,81.3953,96889
Jeff Turkstra,2.7,3.8,98,39.7959,2231495
Gary McFall,2.8,3.0,81,34.1463,1097232
Gustavo Rodriguez-Rivera,4.5,2.7,70,100,132641
William Crum,3.0,3.6,66,40,926420
George Adams,3.6,4.1,61,54.386,1931762
Zhiyuan Li,1.7,4.1,56,21.0526,534540
Ronald Glotzbach,3.3,3.0,49,55.5556,165446
Dan Goldwasser,2.7,3.7,46,32.5,1967603
Guity Ravai,3.1,2.3,46,80,165649
Alan Bunning,3.8,3.6,43,72.5,2062411
Bob Madison,4.3,1.6,37,100,66732
Kihong Park,3.4,3.6,36,62.5,1574956
Mikhail Atallah,4.0,3.4,34,80,133309
Chris Clifton,2.5,4.1,34,44.4444,1401700
Wojciech Szpankowski,2.9,3.9,33,33.3333,132647
Elisha Sacks,1.3,4.4,33,5.8824,483530
Vernon Rego,2.5,3.4,31,20,151046
Ananth Grama,3.3,3.4,31,56.25,193798
Daniel Triplett,2.4,3.8,28,35.7143,2346204
Petros Drineas,4.6,3.3,27,92.5926,2256623
Amy Mueller,2.4,2.5,24,37.5,2338452
Clark Cory,4.3,2.3,23,85.7143,531537
Elena Grigorescu,3.8,3.0,21,71.4286,1964738
Greg Frederickson,3.5,3.9,21,100,256683
Andres Posada,3.8,3.7,21,73.913,2656983
Vetria Byrd,1.4,3.7,20,5,2391245
Mathias Payer,3.4,3.8,20,60,2216114
Carlos Morales,3.8,2.8,20,76.9231,172873
Terry Burton,2.5,3.8,19,-1,381607
Melanie Lotz,3.7,3.3,19,63.1579,2447784
Raymond Hassan,2.9,3.1,18,25,1454074
Bharat Bhargava,2.2,2.6,18,20,132608
Anthony Bergstrom,2.5,3.2,17,35.2941,2523519
Patrick Connolly,4.6,2.1,17,0,342981
Julie Mariga,4.3,1.9,17,100,131995
Susanne Hambrusch,4.4,4.0,16,100,132660
Kyle Lutes,3.1,3.9,16,-1,457757
Dennis Brylow,3.9,3.9,16,-1,338509
Marta Crowe,4.3,1.6,16,93.75,2120117
Xiaojin Liu,1.5,3.3,15,6.6667,2660437
Bruno Ribeiro,1.7,3.1,14,14.2857,2320832
Samuel Wagstaff,2.3,3.1,14,100,6152
Walid Aref,3.4,3.1,14,12.5,831064
Hisham Benotman,4.2,2.5,13,84.6154,2611555
Sonia Fahmy,3.9,3.5,13,100,11657
Ruby Tahboub,2.5,3.4,12,16.6667,2230252
Esteban Garcia Bravo,4.8,2.6,11,100,2451862
Christoph Hoffmann,2.3,4.5,11,33.3333,1807410
Eugene Spafford,2.6,3.7,11,60,132530
Douglas Comer,4.8,3.7,10,100,132596
David Gleich,2.3,3.8,10,12.5,2045351
Steven Hanneke,1.0,4.9,10,-1,2769859
Antony Hosking,4.0,3.2,10,100,1837362
Jan Vitek,2.5,4.4,10,-1,1690422
Daniel Aliaga,2.5,3.5,9,40,910867
Xiangyu Zhang,3.8,3.1,9,66.6667,961598
KC Van Zandt,1.5,2.6,9,-1,161282
Hemanta Maji,3.1,4.5,9,55.5556,2309384
Jeremiah Blocki,4.6,4.2,9,100,2524806
Robert Skeel,1.2,3.1,8,0,543034
Sanjay Rao,4.0,2.2,8,75,703386
Xavier Tricoche,1.9,3.9,8,12.5,2236623
Dongyan XU,4.5,3.1,8,100,1439732
Tiark Rompf,1.8,4.3,8,25,2572001
Jennifer Neville,3.2,3.3,7,50,2106864
Yexiang Xue,3.3,2.3,7,57.1429,2544766
Alex Psomas,5.0,4.0,7,100,2750799
Jean Honorio-Carrillo,3.2,3.5,7,57.1429,2358048
Aditya Mathur,4.6,4.3,7,-1,468205
Sunil Prabhakar,4.7,4.1,7,-1,328727
Elisa Bertino,1.3,3.1,7,14.2857,2619460
Voicu Popescu,3.0,3.3,6,66.6667,2191324
Pedro Fonseca,1.0,5.0,6,0,2548304
Ahmed Sameh,2.2,4.7,6,-1,11655
Alex Pothen,2.8,2.8,6,60,1994513
Umesh Bellur,3.1,2.8,6,0,2048249
Bedrich Benes,4.2,3.7,6,66.6667,2269278
Colin Gray,4.5,3.7,6,80,2133559
Chunyi Peng,3.0,3.4,5,40,2534646
Ninghui Li,5.0,3.6,5,100,2267382
Nathan Hartman,2.6,3.2,5,0,1253797
David Yau,1.7,3.8,5,0,897419
Kamyar Azizzadenesheli,1.3,3.0,4,25,2717050
Phil Sands,5.0,1.0,4,100,1976557
Logan Kulinski,3.0,3.2,4,50,2463158
Changhee Jung,5.0,4.0,4,100,2695017
Rick Homkes,4.5,3.0,4,-1,470285
Vassilis Zikas,5.0,4.2,4,100,2758409
Kent Quanrud,2.0,5.0,3,50,2636799
Rosemary Astheimer,2.3,1.7,3,33.3333,2365480
Ming Yin,4.3,2.7,3,100,2729061
Maxwell Rees,4.7,2.7,3,100,2745108
Michael Gabel,1.5,3.0,3,-1,1393850
Nandhini Giri,4.0,2.3,3,100,2747573
David Whittinghill,5.0,3.0,2,100,2683316
Cristina Nita-Rotaru,3.8,2.5,2,-1,1116586
Garrett Kizior,4.5,2.5,2,100,2142410
Austin Toombs,4.5,2.5,2,100,2745211
Srivatsan Ravi,1.3,2.5,2,0,2144111
Elias Bareinboim,1.5,4.5,2,50,2082947
Ramana Kompella,5.0,2.5,2,-1,1543526
JingDave Tian,4.5,4.0,2,100,2719948
Ahmed Mahmood,3.0,3.0,2,0,2269509
Ahmed Abdelhamid,4.0,2.5,2,50,2364181
Hubert Dunsmore,5.0,4.0,2,100,2507062
Simina Branzei,3.5,4.5,2,50,2636797
He Wang,5.0,3.0,2,100,2444778
Romila Pradhan,5.0,3.0,2,100,2555664
Charles Killian,5.0,1.0,1,-1,1653705
Roopsha Samanta,5.0,3.0,1,100,2656486
Tawfiq Salem,4.0,2.0,1,100,2718561
Perry Cox,5.0,3.0,1,100,2572299
Kirby Kohlmorgen,5.0,2.0,1,100,2046797
Robert Howard,5.0,3.0,1,100,2768207
Yingjie Chen,1.0,2.0,1,-1,1879703
Vijeet Yarlagadda,5.0,1.0,1,100,2472777
Christopher Enright,5.0,1.0,1,100,2472497
Tim McGraw,4.0,3.0,1,100,2436961
Jianguo Wang,3.0,2.0,1,0,2762697
Ahad Sagheer,5.0,1.0,1,100,2241453
Raj Arangarasan,0.0,0.0,0,-1,768839
John Rice,0.0,0.0,0,-1,336578
John Duff,0.0,0.0,0,-1,1649845
Caleb Bennett,0.0,0.0,0,-1,1498474
Elkindi Rezig,0.0,0.0,0,-1,2155574
Rajiv Khanna,0.0,0.0,0,100,2770895
Paul Parsons,0.0,0.0,0,-1,2773060
Richelle Fosu,0.0,0.0,0,-1,2110245
Tamal Dey,0.0,0.0,0,-1,2768655
Ryan Rossi,0.0,0.0,0,-1,2121016
Wuwei Zhang,0.0,0.0,0,-1,2222064
Jay Hankins,0.0,0.0,0,-1,2241457
Marlen Promann,0.0,0.0,0,-1,2277116
Majid Kazemian,0.0,0.0,0,-1,2414275
Srinath Nandakumar,0.0,0.0,0,-1,2491725
Berkay Celik,0.0,0.0,0,-1,2636798
Travis Fuerst,0.0,0.0,0,-1,2783142
