Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,2.88358413132695,3.5668946648426827,731,35.31647906976744,0
Ian Shipsey,4.3,2.5,35,-1,154677
Laura Pyrak-Nolte,2.8,3.9,34,32,552195
Yulia Pushkar,1.4,4.0,32,4.3478,1408282
Virgil Barnes,1.5,3.5,28,0,504294
Stephen Durbin,2.7,3.3,27,0,320049
Andrew Hirsh,3.1,3.7,25,53.3333,1217029
Sanjay Rebello,4.0,2.7,24,68.1818,2076561
David Koltick,1.6,4.0,23,11.1111,303831
Gabor Csathy,3.6,3.3,23,14.2857,1153811
Danny Milisavljevic,4.4,3.7,22,95.4545,2331830
Maxim Lyutikov,1.7,4.0,21,100,1431146
Norbert Neumeister,3.6,3.3,21,66.6667,901554
Marc Caffee,4.0,2.8,21,75,410180
Erica Carlson,4.5,3.3,18,100,1328345
Rafael Lang,4.2,3.6,18,78.5714,1835818
Virendra Saxena,1.2,4.2,17,-1,405601
Fuqiang Wang,2.0,4.0,17,22.2222,1646176
Mark Haugan,1.9,3.8,16,20,1048973
Sergei Savikhin,3.8,2.7,15,25,190864
Laszlo Gutay,2.3,3.2,15,0,489410
Brian Todd,1.4,4.9,14,0,1709258
Denes Molnar,3.1,3.3,14,50,1463181
Oana Malis,3.0,3.8,13,75,1446409
Ronald Reifenberger,3.1,3.5,13,-1,318510
Chen-Lung Hung,1.6,4.5,12,16.6667,2105752
Qiyu Liang,1.1,4.0,12,0,2727149
Wei Cui,2.5,3.8,12,0,224125
Ephraim Fischbach,4.2,3.2,11,75,1746417
Soo Lee,2.3,4.1,10,33.3333,1916916
Robert Austin,2.6,4.2,9,22.2222,2724706
Hisao Nakanishi,3.1,3.7,9,20,534652
Arnab Banerjee,2.4,4.0,8,25,2548865
Yeong Kim,1.9,3.7,7,-1,1522760
Kenneth Ritchie,4.6,3.3,7,100,1329799
Ian  Arnold,3.5,3.8,6,66.6667,2084711
Ajith Rajapaksha,1.3,4.3,6,16.6667,2231765
David Nolte,3.7,3.3,6,50,834810
Leonid Rokhinson,1.9,3.2,6,100,1628710
Kyoung-soo Lee,2.4,4.4,5,40,2372585
Wei Xie,3.5,3.6,5,50,1573898
Qi (Tony) Zhou,4.8,2.5,4,100,2283839
Paul Muzikar,3.9,3.5,4,-1,410169
Timothy Jones,3.2,4.3,4,0,1778986
Niranjan Shivaram,2.2,3.2,4,25,2559609
Arthur Garfinkel,1.4,3.5,4,-1,1632286
Andrew Mugler,5.0,3.3,3,100,2368684
Sherwin Love,4.9,4.0,3,100,1936115
Jay Melosh,2.3,2.3,3,0,2088705
Troy Seberson,5.0,3.0,2,100,2190592
Riddhi Mehta,1.0,4.5,2,0,2289533
Rudro Biswas,4.5,3.5,2,100,2265847
Andrew Hirsch,2.5,4.0,2,50,2548445
Alyssa Gareltts,3.8,3.5,2,-1,1664983
Cyrus Vandrevala,5.0,2.0,2,-1,1522766
Srividya Iyer-Biswas,5.0,2.5,2,100,2395069
Yuli Lyanda-Geller,1.0,3.5,2,0,1235149
Chen Yang,3.0,2.0,2,0,1253065
Brad Abell,4.0,3.0,1,-1,1505460
John Finely,5.0,3.0,1,-1,1818026
Jared Bland,5.0,3.0,1,-1,2031370
Giuseppe Giuliani,5.0,5.0,1,100,2394871
Amy Damitz,2.5,3.0,1,-1,2097549
Brandon Schabell,5.0,2.0,1,-1,2031375
Ian Christie,5.0,3.0,1,-1,2073800
Matthew Lister,5.0,3.0,1,100,2255401
David Blasing,5.0,3.0,1,100,2289534
Jorge Rodríguez,1.0,5.0,1,0,2230444
Gabriele Giuliani,0.0,0.0,0,-1,1459247
Peter Johnson,0.0,0.0,0,-1,1246025
Deepak Pandey,0.0,0.0,0,-1,1407967
Marla Glover,0.0,0.0,0,-1,2730466
Abhilash Reddy Kalam,0.0,0.0,0,-1,2292228
Laura Pyramid-nolte,0.0,0.0,0,-1,2469623
Sridvidya Iyer-biswas,0.0,0.0,0,-1,2469624
Ruichao (Alex) Ma,0.0,0.0,0,-1,2562564
Guga Khundzakishvili,0.0,0.0,0,-1,2614825
Zachary Davis,0.0,0.0,0,-1,2716823
Andrzej Lewicki,0.0,0.0,0,-1,2780804
