Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.8442622950819687,2.8542544886807177,1281,54.57902677595629,0
Mark Croft,2.9,3.3,140,56.25,343925
Slawomir Piatek,3.5,2.6,124,-1,179712
Michael Gentile,4.3,2.6,89,85,582954
Charles Keeton,4.7,2.5,48,100,829855
Suzanne Brahmia,4.5,2.3,40,100,237733
Frank Zimmerman,3.1,3.2,37,33.3333,326226
Amit Lath,3.9,2.7,36,100,258696
Carlton Pryor,3.8,2.8,28,42.8571,490058
Karin Rabe,4.1,2.6,22,100,799273
Premala Chandra,3.2,3.0,22,18.1818,592706
Jerry Sellwood,2.9,2.2,22,-1,361847
Rene Ruel,4.1,3.3,19,80,599358
Saurabh Jha,5.0,1.7,17,100,1645962
John Chou,4.1,3.1,16,62.5,1815764
Douglass Bergman,2.4,3.1,15,-1,915987
M Gershenson,3.3,3.4,14,0,661249
William Debuvitz,4.7,2.2,14,-1,962248
Charles Pax,3.3,2.0,14,-1,1129749
Ronald Gilman,2.2,3.5,13,-1,1257759
Gabriel Alba,2.2,4.3,13,0,388989
Sevil Salur,4.1,1.8,12,100,1795909
John Hughes,3.7,3.0,11,66.6667,816921
Brian Lee,4.6,2.1,11,83.3333,1901937
Duiliu Emanuel Diaconescu,2.6,3.0,11,25,1915789
Roy Montalvo,3.6,3.5,11,63.6364,2397463
Weida WU,2.8,3.6,10,0,1809951
Robert Bartynski,4.6,2.9,10,-1,332649
Willem Kloet,4.6,2.5,10,66.6667,380705
Yuri Gershtein,3.6,3.6,10,100,1335977
Charles Ruggieri,4.7,2.8,9,100,2243603
David Vanderbilt,4.0,2.5,8,100,451893
Ross Fadely,4.9,2.3,8,-1,553151
Mohan Kalelkar,4.5,2.1,8,-1,471651
Sunil Somalwar,4.9,1.7,7,100,390269
Geraldine Cochran,5.0,3.1,7,100,2256970
Eva Halkiadakis,3.6,2.4,7,75,1098835
Daniel Brennan,4.1,1.6,7,-1,1968626
Daniel Friedan,3.6,3.2,6,40,1706558
August Krueger,2.8,3.5,6,0,1847793
Eva Andrei,3.2,3.0,5,0,641000
Leonardo Santana,4.8,1.4,5,100,2043446
Aram Mekjian,3.8,2.8,5,-1,876284
Haile Owusu,3.4,4.8,4,-1,1138367
Larry Zamick,3.3,3.0,4,-1,794381
Monica Youssef,5.0,1.5,4,100,2179892
Jacquelyn Noronha-Hostler,1.5,3.5,4,0,2418211
Seongshik Oh,2.9,4.0,4,100,1643628
Sang-Wook Cheong,3.0,3.7,3,100,603745
Jasen Scaramazza,4.2,1.7,3,-1,2060834
Mohammad Ramezanali,5.0,2.0,3,-1,1676093
George Locke,3.2,4.0,3,-1,1676054
Amandeep Guliani,4.8,1.5,2,-1,1562495
Harsh Modi,5.0,2.0,2,100,2427304
Robert Lindner,5.0,1.5,2,-1,1579636
Jak Chakhalian,3.5,3.0,2,50,2561368
Huijie Guan,4.8,2.0,2,-1,1824632
Vitaly Podzorov,5.0,3.0,2,100,2584856
Faraz Khan,5.0,1.0,2,-1,1679447
Kristen McQuinn,5.0,3.5,2,100,2702343
Iskander Ziyatdinov,3.5,2.5,2,-1,1100465
Sue Slusky,1.0,3.0,2,-1,803229
Harry Kojima,2.0,5.0,1,-1,1928194
Alexandre Morozov,5.0,2.0,1,-1,1558719
Angand Kale,3.0,1.0,1,-1,1424377
David Maiullo,5.0,1.0,1,-1,1691267
Kristen Fahy,5.0,4.0,1,-1,1841742
Sri Tata,5.0,3.0,1,100,2178576
Rahed Mohammed,5.0,1.0,1,-1,1872248
Anam Shaikh,5.0,3.0,1,100,2574454
Aatin Dhanda,5.0,2.0,1,100,2448135
Ryan Galinkin,5.0,1.0,1,100,2436977
Duncan Adams,5.0,2.0,1,100,2308936
Maximilian Frank,1.0,5.0,1,0,2178193
Bismayan Chakrabarti,5.0,2.0,1,-1,1888952
Tom Banks,5.0,1.0,1,100,2226318
Nicodemos Varnava,5.0,4.0,1,100,2213741
Isabel Kennedy,4.0,3.0,1,100,2212014
AA Danese,0.0,0.0,0,-1,1691386
Michael Boan,0.0,0.0,0,-1,1846714
Mihir Patel,0.0,0.0,0,-1,2174061
Jonathan Mayes,0.0,0.0,0,-1,2273980
Herbert Neuberger,0.0,0.0,0,-1,2185647
Adam Broussard,0.0,0.0,0,-1,2282451
Mark Capelli,0.0,0.0,0,-1,2722518
Michael Solway,0.0,0.0,0,-1,1609032
Patrick Makowski,0.0,0.0,0,-1,2679687
Alexander Mozorov,0.0,0.0,0,-1,2040164
