Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,4.419148936170213,3.0595744680851067,94,65.61702127659575,0
Brent Corbin,4.7,4.0,11,100,640323
Michael Jura,3.2,4.0,8,-1,733742
Shanna Shaked,2.4,4.0,5,-1,1880504
Jean Turner,4.5,3.3,4,-1,1305
Ferdinand Coroniti,3.5,2.7,3,100,1418111
James Larkin,4.8,2.3,3,-1,829035
Pierre Gourdain,4.8,3.3,3,-1,1059732
George Gruner,2.0,4.5,2,-1,558034
Zvi Bern,5.0,2.5,2,-1,1269602
Pietro Musumeci,4.8,2.0,2,100,1101240
Anton Bondarenko,5.0,3.0,1,100,2281364
James Rosenzweig,5.0,4.0,1,100,2564342
JT Pau,2.5,3.0,1,-1,1411571
Andrew Forrester,5.0,3.0,1,-1,1792744
D Saltzberg,5.0,2.0,1,-1,1297407
CK Patel,3.0,5.0,1,-1,1411570
Seung Ji,4.0,4.0,1,-1,1328681
S Sakai,5.0,4.0,1,100,1297406
Edward Wright,0.0,0.0,0,-1,1297408
Erik Petigura,0.0,0.0,0,-1,2604199
Nicholas Rombes,0.0,0.0,0,-1,2680357
Benjamin Zuckerman,0.0,0.0,0,-1,2570945
Rene Ong,0.0,0.0,0,-1,1732354
Justin Lancaster,0.0,0.0,0,-1,2545343
Martin Simon,0.0,0.0,0,-1,1754410
Eric D'Hoker,0.0,0.0,0,-1,2278949
Mashhadi Aghajan,0.0,0.0,0,-1,2238864
Lillan Jiang,0.0,0.0,0,-1,2178284
John Miao,0.0,0.0,0,-1,2171605
Nicholas Sudar,0.0,0.0,0,-1,1810897
Brian Regan,0.0,0.0,0,-1,1790921
Huan Huang,0.0,0.0,0,-1,2186091
