Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,4.004626334519573,3.425978647686832,1124,74.42671743772242,0
David Paoletti,4.8,3.6,69,100,1836686
James Juett,4.9,2.9,63,100,2048250
Ilya Volkovich,4.0,3.5,54,76.9231,2042999
William (Bill) Arthur,4.4,2.7,46,90.4762,1943528
Yaoyun Shi,2.0,4.7,44,100,958700
David Kieras,3.7,4.6,43,50,132112
Jacob Abernethy,4.1,3.5,42,75,1883916
Jenna Wiens,3.6,3.7,30,60,2011967
Nicole Hamilton,4.5,3.3,27,85.1852,2283397
Elliot Soloway,3.5,2.2,27,100,527661
Amir Kamil,4.1,3.0,25,82.6087,2114111
Marcus Darden,4.6,3.8,24,100,1991134
Sindhu Kutty,4.0,3.7,23,78.2609,2334807
Don Winsor,4.2,2.5,22,-1,403684
Atul Prakash,3.7,3.4,21,42.8571,842649
Peter Honeyman,1.8,3.7,20,11.1111,1973048
Quentin Stout,2.1,3.7,19,16.6667,806591
Honglak Lee,4.3,3.8,18,66.6667,1622306
Harrison Davis,4.5,3.4,18,94.4444,2334421
Harsha Madhyastha,4.9,4.3,16,100,2052368
Kevin Leach,4.7,3.4,13,100,2361568
Westley Weimer,5.0,2.9,13,100,2277209
Austin Yarger,4.9,3.9,12,100,2321290
Benjamin Kuipers,2.3,3.3,12,0,1504121
Igor Markov,3.6,3.6,12,50,425443
Alfred Hero,2.1,4.3,11,40,1184520
Michael Cafarella,4.7,3.0,11,100,1857893
Kevin Fu,3.6,3.1,11,100,1860460
Jia Deng,3.2,3.6,11,36.3636,2198742
Rada Mihalcea,4.1,2.8,10,85.7143,1915339
Mark Guzdial,2.7,2.0,10,40,2556809
Satish Narayanasamy,3.4,3.0,10,66.6667,1075280
Barzan Mozafari,2.5,3.7,10,33.3333,1916294
Manos Kapritsos,5.0,4.6,9,100,2248141
Jason Corso,2.7,3.9,9,28.5714,1989596
Emily Provost,3.7,2.6,9,75,1758844
Reetuparna Das,2.1,3.2,9,22.2222,2061772
Andrew Lukefahr,4.5,3.4,8,100,2188979
Kimberly Diaz,4.7,3.6,8,100,2463848
Alex Halderman,4.2,3.3,7,60,1660233
Julia Lipman,2.4,3.9,7,-1,1067850
Joseph Damiani,5.0,2.1,7,100,1830727
Jason Mars,3.9,3.1,7,0,1885938
David Fouhey,4.8,3.6,7,100,2483355
Christopher Peikert,4.7,3.3,7,100,2176272
Grant Schoenebeck,2.6,3.1,7,0,1808854
Harry Davis,5.0,3.2,7,100,2432636
John Laird,4.5,1.9,7,100,773127
Danai Koutra,3.8,3.5,6,75,2131137
Edwin Olson,4.7,4.4,5,-1,1342059
Mahdi Cheraghchi,5.0,2.8,5,100,2567650
Andrew Morgan,3.8,3.6,5,-1,1505635
Leland Pierce,1.4,3.2,5,20,2658079
Nader Jawad,4.2,1.8,5,-1,1417723
Joyce Chai,3.0,4.0,5,40,2688934
Cyrus Omar,4.5,3.5,4,75,2574205
Alanson Sample,2.7,4.5,4,60,2633909
Prabal Dutta,2.7,2.5,4,100,1885940
Mosharaf Chowdhury,3.5,3.2,4,50,2270545
Sofia Saleem,5.0,3.0,4,100,2551383
Greg Bodwin,5.0,3.7,3,100,2762992
Jeremy Gibson,4.3,3.0,3,-1,1965335
Odest Chadwicke Jenkins,4.3,4.3,3,100,2188992
Justin Johnson,5.0,3.0,2,100,2630077
David Adrian,3.0,3.0,2,50,2173980
Georg Essl,4.5,2.5,2,-1,1560999
Daniel Genkin,4.5,3.0,2,100,2484578
Kim Diaz,4.0,1.5,2,100,2310971
Walter Lasecki,5.0,3.0,2,100,2173187
Ben Torralva,2.0,3.0,1,66.6667,2707846
Zeeshan Syed,3.0,4.0,1,-1,1662019
Somayeh Molaei,5.0,2.0,1,100,2719212
Kevin Angstadt,5.0,4.0,1,100,2310939
Pradeep Muthukrishnan,5.0,1.0,1,-1,1417727
Kyle Lady,4.0,4.0,1,100,2228404
Thatchaphol Saranurak,1.0,5.0,1,0,2640651
Aaron Barber,5.0,2.0,1,100,2240468
Chandrasekhar Boyapati,3.0,2.0,1,-1,1380182
Fatemeh Arbabjolfaei,4.0,3.0,1,100,2607830
Roya Ensafi,5.0,2.0,1,100,2562990
Raed Almomani,5.0,3.0,1,100,2462824
Tyler Seruga,0.0,0.0,0,-1,2122069
Lingjia Tang,0.0,0.0,0,-1,2753983
Lane Tobin,0.0,0.0,0,-1,2131042
Xu Wang,0.0,0.0,0,-1,2753879
Rod Johnson,0.0,0.0,0,-1,2250989
Jonathan Moore,0.0,0.0,0,-1,2751126
Aary Sagar,0.0,0.0,0,-1,2242288
Ryien Hosseini,0.0,0.0,0,-1,2357038
Chad Sharp,0.0,0.0,0,-1,2404594
Zohreh Sharafi,0.0,0.0,0,-1,2516145
Kartikeya Kandula,0.0,0.0,0,-1,2525179
Juliet Levesque,0.0,0.0,0,-1,2533182
Pranav Ramarao,0.0,0.0,0,-1,2242289
Hershal Satam,0.0,0.0,0,-1,2672206
Euiwoong Lee,0.0,0.0,0,-1,2756664
Chris Salem,0.0,0.0,0,-1,2229887
Xinyu Wang,0.0,0.0,0,-1,2684118
Youssef Katamish,0.0,0.0,0,-1,2188864
Sam Beane,0.0,0.0,0,-1,1838005
Leqi Zhu,0.0,0.0,0,100,2717583
Lu Wang,0.0,0.0,0,-1,2731680
Justin Li,0.0,0.0,0,-1,2004903
