Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.8698251551043423,3.3532430908065423,1773,69.12203254371121,0
Yuri Popov,4.2,3.2,135,81.1321,1221235
Wayne Lau,3.8,2.5,109,63.4921,1505318
Tobias Eckhause,2.4,3.5,106,18.9655,1063253
Bradford Orr,4.2,3.8,75,89.2857,316226
Andrew Tomasch,3.5,3.5,75,100,778575
Ctirad Uher,4.7,2.8,64,100,257205
August Evrard,4.1,3.7,64,100,191614
David Gerdes,4.4,3.4,55,100,217748
Keith Riles,3.2,3.7,50,90,1268287
Mike Melnichuk,4.8,2.7,50,93.3333,1377008
Tim McKay,4.2,3.5,45,100,380159
David Lubensky,2.9,4.2,43,23.3333,946714
David Gidley,3.8,3.4,41,-1,588237
Cagliyan Kurdak,3.5,3.6,36,-1,60593
Michal Zochowski,4.5,2.6,34,71.4286,1359695
Timothy Chupp,2.6,3.4,32,25,428777
Myron Campbell,3.7,3.8,32,83.3333,60591
Dante Amidei,4.0,2.9,31,33.3333,567677
Gregory Tarle,3.7,3.5,28,100,331359
Roberto Merlin,2.2,3.4,26,40,603425
Roy Clarke,3.1,3.2,25,100,573294
Fred Adams,4.0,3.1,23,100,612316
Ratindranath Akhoury,2.7,3.8,21,0,1451523
James Allen,3.7,3.8,20,-1,531677
Jianming Qian,4.4,3.6,16,100,217747
Paul Berman,3.1,3.9,16,-1,1340853
Jean Krisch,4.9,2.1,16,100,319890
Robert Deegan,3.3,3.9,15,41.6667,1615403
Dragan Huterer,3.3,3.6,15,83.3333,1222439
Mark Newman,5.0,2.8,15,100,1116233
Jens-Christian Meiners,2.5,3.9,14,22.2222,1784040
James Liu,4.9,3.9,13,100,444243
Frederick Becchetti,3.0,2.8,11,-1,403543
Henriette Elvang,4.9,3.2,11,100,1661229
Emanuel Gull,1.8,3.7,10,0,1813007
Christine Aidala,3.6,2.1,10,66.6667,1769409
Bing Zhou,3.2,3.4,10,50,1499130
Jeff McMahon,4.4,3.4,10,100,1816611
Aaron Leanhardt,5.0,3.3,10,100,1077592
George Raithel,2.6,4.1,10,0,145222
Wolfgang Lorenzon,3.7,2.8,9,66.6667,389822
Tom Schwarz,4.5,3.3,8,80,1750016
Rudolf Thun,3.8,3.5,8,-1,458513
Alexander Thomas,4.0,2.0,7,85.7143,2401887
Junjie Zhu,4.1,3.4,7,66.6667,1966603
Len Sander,2.6,2.9,7,-1,1067443
Duncan Steel,4.4,3.8,6,100,192964
Joshua Spitz,5.0,3.0,5,100,2197446
Mary-Ann Mycek,4.3,2.6,5,-1,404892
Carl Akerlof,1.6,4.0,5,0,975536
Andrea Chaney,3.8,3.8,4,75,2642055
Aaron Pierce,5.0,2.8,4,100,1279744
Ben Safdi,4.3,3.8,4,75,2498727
Vanessa Sih,4.9,2.3,4,-1,1481990
Luming Duan,3.8,3.0,4,50,1885069
Leopoldo Zayas,3.0,4.3,3,66.6667,2125297
Noemi Mirkin,4.8,3.0,2,-1,1364023
Ramon Torres-Isea,4.5,2.0,2,-1,825985
Kathryn Zurek,3.3,4.0,2,-1,1555490
Lu Li,4.5,2.5,2,50,2414646
Steven Cundiff,2.0,4.0,2,0,2116013
Michele Papucci,5.0,1.5,2,100,1868062
Xiaoming Mao,5.0,2.0,1,100,2144580
Chris Trowbridge,2.5,5.0,1,-1,1514767
Tony Xavier,5.0,2.0,1,100,2624355
Alex Kuzmich,4.0,4.0,1,100,2161629
Brian Carrick,5.0,1.0,1,-1,1890788
Mike Melnichuc,0.0,0.0,0,-1,1662498
Qiong Yang,0.0,0.0,0,-1,2125803
John Schaibley,0.0,0.0,0,-1,1208159
Jun Xiao,0.0,0.0,0,-1,1322119
Andrew Cadotte,0.0,0.0,0,-1,2668090
Ibrahim Hakim,0.0,0.0,0,-1,1520642
Kai Sun,0.0,0.0,0,-1,2125800
Hui Deng,0.0,0.0,0,-1,1868063
Finn Larsen,0.0,0.0,0,-1,2125801
