Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.4134659090909096,3.5435511363636363,3520,54.67166059659091,0
Debra Hansen,2.7,3.6,192,37.5796,1786975
Jennifer Fritz,3.1,3.7,187,48.6301,891227
Ruth Buskirk,4.6,3.3,147,97.8022,381449
Anita Latham,4.3,2.9,134,90.9091,850298
Martha Maas,2.6,3.6,119,29.1667,1350418
Inder Saxena,3.1,3.8,115,50.5618,225942
Donald Levin,2.9,3.6,100,50,699505
John Batterton,3.1,3.8,93,47.541,235296
Janice Fischer,3.1,4.2,85,45.679,355050
Prathiba Saxena,2.0,4.2,81,17.6471,674680
Ann Thijs,3.1,3.2,70,51.4286,2264451
Elizabeth Bradbury,3.3,3.6,66,56.0606,2414853
Jessie Wandelt,3.8,3.5,60,100,835309
Goheun Kim,3.2,3.7,59,55.7377,2176767
David Taylor,5.0,2.3,54,100,2303870
Lisa Boucher,1.9,4.2,54,8.3333,1950253
Jonathan Partridge,4.6,3.3,48,89.7959,2343797
Peter English,3.2,3.8,46,52.1739,2243350
Zaiming Zhao,3.3,2.8,44,0,1197191
Jose Panero,3.7,3.5,44,83.3333,873606
Jennifer Moon,4.7,3.4,44,87.5,1124979
Mary Poteet,3.0,2.9,42,47.2222,1854661
Mary Hines,2.1,4.5,41,19.2308,1584477
Kristin Patterson,3.2,3.5,40,41.9355,1479250
Brenda Chinnery-Allgeier,3.7,3,36,63.6364,1197187
Shao-Ying Cheng,2.9,4.4,34,52.9412,2261227
George Pollak,4.3,3.2,33,80.9524,910312
Beverly Finklea,3.8,4.5,33,-1,138781
Jan Machart,3.7,4,32,54.1667,1194504
Scott Stevens,2.8,4.6,30,28.5714,355058
Martin Poenie,2.5,3.6,29,37.037,1328509
Peter King,4.3,3.7,28,92.8571,2262691
Eric Pianka,1.4,4.3,27,13.3333,828023
Clarence  Chan,3.1,4.5,26,52.381,1962392
Hong Qiao,4.3,3,26,88.4615,2228687
Burton Pierson,3.5,4.6,26,-1,225946
Zengjian Chen,4.0,3.4,25,76,2263875
Mark Bierner,4.1,2.3,21,100,264776
Tinisha Hancock,3.9,3.2,20,100,2058159
James Bull,4.2,2.7,19,77.7778,2062629
Edward Theriot,4.3,3.5,19,78.9474,2255345
Erika Borden,3.6,3.6,18,0,1569405
Mackenzie Howard,2.0,4.8,18,16.6667,2519669
Paul MacDonald,2.1,4.5,18,27.7778,2215480
Gregory Palmer,4.8,2.5,17,100,1917349
Alan Lloyd,3.4,3.1,17,56.25,1567902
Craig Linder,3.1,3.9,17,52.9412,2325436
William Babler,4.8,4,17,100,2596724
Laura Gonzalez,3.5,3,17,58.8235,2251241
Jeffrey Barrick,3.0,3.9,16,60,2144897
Enamul Huq,2.7,3.7,16,40,2077006
Mona Mehedy,2.8,4.5,16,100,739526
Daniel Dickinson,4.6,4.5,15,93.3333,2358490
David Herrin,2.3,3.3,15,30,2123706
Arturo Delozanne,4.4,3.6,15,83.3333,1587140
Randal Linder,2.7,4,15,27.2727,694602
Stefanie Leacock,4.1,3.9,14,0,1866311
Barbara Moore,2.7,4.2,14,-1,996994
Steve Takata,3.7,3.5,14,-1,1488407
Norma Fowler,2.5,3.5,13,33.3333,1546451
Jerry Brand,3.3,3.3,12,-1,1584078
Mark Kirkpatrick,3.2,3.9,12,53.8462,2119551
David Cannatella,2.5,3.5,12,25,2276729
James Walker,2.4,4.2,11,22.2222,1392721
Nicola Davies,3.2,4.1,11,100,1560493
Shelley Payne,4.1,4.4,11,72.7273,2329177
Klaus Kalthoff,2.8,4.6,11,-1,355052
Kay McMurry,4.6,2.6,10,100,1611291
Michael Mauk,4.5,3.3,10,87.5,2119074
Seena Mathew,2.5,3,10,-1,1629179
Mary McAnelly,2.5,3,10,-1,1482944
Ilya Finkelstein,2.6,4,10,50,2135906
Kenneth Diller,5.0,1.6,10,100,2182359
Michael Singer,4.3,2.8,10,-1,915691
Sibum Sung,2.5,4.2,10,50,2364707
Chris Sullivan,3.8,4.1,9,62.5,1962398
Goh-Eun Kim,4.3,3.3,9,77.7778,2264449
Sharon Jasper,3.2,3,9,-1,91833
Nigel Atkinson,2.0,3.6,8,25,2244135
Kevin Christmas,4.0,4.2,8,100,2037883
Pratibha Saxena,3.3,3.9,8,62.5,2296902
Eric Cambronne,4.7,2.8,8,100,2500936
Suzanne Barth,4.2,2.7,8,80,700386
Tom Bushart,3.3,3.9,8,-1,1048267
. Neubauer,3.9,3.6,7,-1,829908
Theresa O'Halloran,4.8,2.7,7,100,2053028
Karen Browning,1.3,4.4,7,0,2625688
Steven Phelps,3.3,3.7,7,66.6667,1915174
Katherine Bruner,5.0,2.7,7,100,2296900
Kyle Miller,3.3,3.4,7,0,1850934
James Bryant,2.7,4.8,6,-1,1089705
Tim Fleisher,1.0,4.8,6,0,2546930
Amelia Wolf,3.0,1.8,6,50,2557555
Micky Marinelli,3.8,3.7,6,66.6667,2489006
Dee Silverthorn,4.8,3.7,6,100,1450078
William Bargmann,4.1,3.8,6,100,1790378
Gregory Clark,5.0,2.4,5,100,2486528
Paul Findell,2.4,5,5,-1,1183119
Bob Sanders,3.5,3.4,5,-1,1169515
Justin Havird,5.0,3.8,5,100,2411314
Ian Molineux,3.0,3.8,5,80,2296898
Johann Eberhart,4.4,4.4,5,80,2182111
Mikhail Matz,3.8,3.2,5,80,1803074
Arturo De Lozanne,4.8,3,5,100,2561184
Raisika Harshey,2.8,4.6,5,60,2296907
Arlen Johnson,2.0,3.6,5,0,1141719
Shalene Jha,2.8,3.8,5,40,2256714
Seema Agarwala,2.4,4.2,5,33.3333,2254426
Ulrich Mueller,3.2,3.6,5,60,2296896
Stacia Rodenbusch,4.6,3.2,5,100,2664022
John Abbott,5.0,3.4,5,-1,676972
Timothy Riedel,4.9,2.4,5,100,2071330
Dia Bagchi,3.0,3.6,5,40,2380108
Claus Wilke,3.7,3.3,4,66.6667,1873913
Boris Zemelman,3.8,4,4,100,1709067
David Stein,3.3,4.5,4,75,2492854
Stanley Roux,4.0,3,4,75,2225791
Karishma Kaushik,5.0,2,4,100,2296901
Taylor Schoberle,2.7,3.3,4,50,2591310
Molly Cummings,3.5,3,4,75,2263882
Laura Colgin,4.8,2,4,100,2124367
Mike Ryan,4.2,3.2,4,100,1217291
Franklin Bronson,2.9,3,4,-1,1490674
Josh Beckham,4.8,3.5,4,100,2546983
Lauren Meyers,4.3,1.8,4,66.6667,954668
David Hillis,4.8,4,4,100,158263
Austen Riggs,1.6,2.8,4,-1,979299
Steven Vokes,3.3,3.7,3,33.3333,2263877
Thomas Juenger,3.7,3,3,66.6667,2325434
Harold Zakon,3.5,3.7,3,-1,1169520
Monica Hall-Porter,5.0,2,3,100,2697500
Antonio Gonzalez,5.0,1.7,3,100,1998929
Karen Akre,1.7,4.3,3,-1,1613647
Lauren Ehrlich,3.7,4,3,66.6667,2344950
. English,3.5,3.3,3,-1,1032092
Marvin Whiteley,4.9,3,3,100,2054907
Alexander Wild,2.3,1.3,3,0,2085788
Jon Huibregtse,3.3,4,3,66.6667,2344952
Blerta Xhemalce,3.3,4,3,33.3333,2273654
Matthew Schmerer,2.0,4,3,-1,1491851
H Morikawa,2.0,4.3,3,33.3333,882336
John Mihic,4.3,3.3,3,50,1630749
Anne Hansen,5.0,1,3,100,1816043
Makkuni Jayaram,4.0,3,2,50,2344949
Felicity Muth,3.0,3,2,50,2559546
Lawrence Gilbert,2.5,4,2,0,2296894
Mona Mehdy,3.0,4,2,50,2416094
Jaquelin Dudley,3.0,4.5,2,0,2296904
Lin Huffman,1.5,5,2,-1,1934496
Nolan Bentley,5.0,3.5,2,100,2719489
Rebecca Young Brim,3.8,2.5,2,100,2146395
Leanne Field,4.5,4.5,2,-1,843579
John Fondon,2.8,4.5,2,-1,1624584
Sapun Parekh,2.0,4,2,50,2721350
Tim Keitt,3.0,3.5,2,50,2150136
Nancy Moran,3.0,3.5,2,0,2634259
Sanghamitra Mohanty,3.0,1.5,2,-1,1595484
Richard Richardson,2.0,3.5,2,-1,1169524
Telad Malouhi,5.0,1.5,2,-1,890322
Robert Deans,5.0,3,2,100,2528969
Robin Gutell,5.0,1,1,100,1833846
Charles Earhart,2.5,5,1,-1,1092285
Henry Rylander,3.0,4,1,100,2761017
Laura Suggs,3.0,4,1,100,2761021
Christine Hawkes,3.5,4,1,-1,954667
Umar Alam,5.0,1,1,-1,972249
Samantha Croft,4.0,1,1,-1,1350575
Ruth Franks,4.0,1,1,-1,954665
Viswanath Iyer,4.0,3,1,100,2609583
John La Claire,2.0,3,1,-1,1864768
Chad Brock,4.0,2,1,-1,2140364
Travis Laduc,5.0,3,1,100,2296897
Emin Ulug,5.0,3,1,100,2296905
Haley Tucker,3.0,3,1,0,2325426
Jo-anne Holley,4.0,4,1,100,2431660
Dhairye Dave,5.0,2,1,100,2503734
Karen Brownstein,4.0,3,1,100,2588481
Vishy Iyer,5.0,3,1,100,2608619
Richard Meyer,1.0,5,1,0,2172187
Yan Zhang,5.0,2,1,100,2365530
Caroline Farrior,4.0,5,1,100,2249698
Brandon Campitelli,5.0,3,1,100,2149194
Jonghwan Kim,5.0,4,1,100,2254339
Stephen Yi,1.0,3,1,0,2657896
Robert Jansen,5.0,4,1,100,2403323
Heath Burton,5.0,3,1,100,2102488
Jeffrey Chen,1.0,4,1,0,2741764
James Mauseth,4.0,3,1,-1,1988607
Michael Drew,0.0,0,0,-1,2135504
David Crews,0.0,0,0,-1,2419164
Matthew Leibold,0.0,0,0,-1,2343498
Jason Upton,0.0,0,0,-1,2343497
Martin Schlaepfer,0.0,0,0,-1,910329
Howard Ochman,0.0,0,0,-1,2325430
Bryan Davis,0.0,0,0,-1,2296906
Xiaolu Cambronne,0.0,0,0,-1,2731060
 Allen,0.0,0,0,-1,859580
Tyrone Porter,0.0,0,0,-1,2742861
Kyle Bruner,0.0,0,0,-1,2293018
Richard Brown,0.0,0,0,-1,2263884
David Johnson,0.0,0,0,-1,2262704
Mathew Leibold,0.0,0,0,-1,2013504
Amy Wolf,0.0,0,0,-1,2564593
Kristen Procko,0.0,0,0,-1,2704009
Daniel Leahy,0.0,0,0,-1,2571819
Brian Sedio,0.0,0,0,-1,2730430
Diane Whitmer,0.0,0,0,-1,2594611
David Ring,0.0,0,0,-1,2728823
Anita Lantham,0.0,0,0,-1,2185223
Erick Da Silva Motta,0.0,0,0,-1,2728809
Johann Hofmann,0.0,0,0,-1,1932378
Daniel Bolnick,0.0,0,0,-1,2249614
Vagheesh Narasimha,0.0,0,0,-1,2679857
Mona Medhy,0.0,0,0,-1,2683910
Beryl Simpson,0.0,0,0,-1,1547207
Edward Marcotte,0.0,0,0,-1,2762726
Can Cenik,0.0,0,0,-1,2762725
John Wallingford,0.0,0,0,-1,2226489
