Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.2096350364963504,3.6852554744525543,685,55.50648262773723,0
Zhen Yao,3.8,3.8,30,66.6667,1278075
Jonathan Perry,3.9,3.4,28,82.7586,2532629
Harry Swinney,3.5,4.0,28,63.6364,445807
Gregory Rodin,3.3,4.2,28,54.5455,1708923
Andrew Loveridge,2.2,4.2,24,20.8333,2594385
W. Rory Coker,2.9,4.1,24,50,613238
John Markert,4.6,3.1,22,93.75,671246
Christina Markert,3.1,2.9,21,56.25,1169518
Ernst-Ludwig Florin,3.3,4.1,20,75,1567034
Vernita Gordon,2.6,4.0,20,41.6667,1755356
Richard Fitzpatrick,2.9,4.2,19,85.7143,1035306
John Yeazell,4.0,3.1,18,93.75,2034817
Karol Lang,3.7,3.7,18,77.7778,2417880
Lance Labun,2.5,4.3,17,29.4118,2209416
Alejandro De Lozanne,2.5,3.5,17,42.8571,856102
Greg Sitz,4.4,3.2,16,93.75,2049369
Michael Marder,4.9,3.1,15,100,2248553
James Erskine,1.3,4.4,15,6.6667,2243602
Willy Fischler,3.7,3.1,14,85.7143,1564235
Can Kilic,4.5,3.1,12,85.7143,1842051
Todd Ditmire,3.3,4.2,12,66.6667,732397
Keji Lai,3.4,3.6,11,75,2281596
Bjorn Hegelich,1.5,4.5,10,0,1880258
J Turner,2.1,4.3,10,-1,1246072
Tim Andeen,3.5,4.0,10,60,2190385
Elena Caceres,3.4,3.6,10,60,2340553
Jack Turner,2.7,3.6,9,75,2005960
Herbert Berk,2.6,3.9,9,100,1727577
Roy Schwitters,2.8,3.8,8,20,1464542
Fink Manfred,3.1,2.3,8,62.5,2221444
Richard Matzner,3.7,3.0,7,20,886409
Linda Reichl,2.5,3.8,7,28.5714,2449807
James Chelikowsky,3.3,4.0,7,-1,1294885
Ken Shih,3.3,3.1,7,75,1265354
Andrew Potter,1.7,3.3,6,16.6667,2291272
Sonia Paban,4.8,4.0,6,100,1265352
George Sudarshan,1.4,4.2,6,-1,1946161
Kenneth Gentle,1.7,4.8,6,0,2018298
Dan Heinzen,1.7,4.2,6,33.3333,2284113
Peter Onyisi,3.5,3.4,5,75,2120787
Deirdre Shoemaker,4.6,3.6,5,100,2689340
Elaine Li,4.8,3.6,5,100,2166930
Mark Raizen,3.6,2.8,5,100,721787
Jack Ritchie,2.1,3.3,4,-1,1633956
Vadim Kaplunovsky,2.2,2.3,4,0,1144732
Jason Derr,3.3,2.5,4,50,2378413
Jose Alvarado,3.2,3.5,4,25,2594400
James Eriskine,2.2,3.5,4,0,1027601
Chenyang Luo,1.0,5.0,3,0,2699117
Aaron Zimmerman,5.0,3.0,3,100,2401429
Peter Antoniewicz,3.3,3.3,3,-1,417109
Chris Reilly,2.3,4.3,3,0,2575012
Nathan Erickson,3.2,3.3,3,-1,527761
Joshua Klein,5.0,3.3,3,-1,427065
Allan MacDonald,2.5,2.7,3,0,838210
Arban Uka,4.5,3.0,3,-1,1006168
Mike Downer,2.0,4.3,3,0,1936709
Rodrigo Castillo Vasquez,5.0,1.5,2,100,2650356
Jerry Schirmer,3.0,3.0,2,-1,747486
Anna Tenerani,4.5,3.5,2,100,2716427
John Market,5.0,3.5,2,100,2364671
Kimberly Boddy,1.0,5.0,2,0,2758952
Richard Hazeltine,4.5,3.5,2,100,2409293
Bruce Rodenborn,3.8,4.0,2,-1,1800458
Robert Clark,1.0,5.0,1,-1,1579220
Ibaad Rahman,4.0,3.0,1,-1,1934449
Aida Torabi,5.0,3.0,1,100,2780690
Gerald Hoffmann,3.0,3.0,1,-1,1935040
Sacha Kopp,4.0,5.0,1,-1,1488681
Gregory Fiete,4.0,3.0,1,100,2026372
Elena Caceras,1.0,4.0,1,0,2736179
Brandon DiNunno,5.0,5.0,1,100,2181443
Sarah Stephens,5.0,2.0,1,100,2513446
Bernard David,3.0,2.0,1,100,2561759
Jacques Distler,1.0,5.0,1,0,2268059
Manfred Fink,5.0,2.0,1,100,2295100
Qian Niu,0.0,0.0,0,-1,2780311
Moksh Chitkara,0.0,0.0,0,-1,2777023
Jefferson Perry,0.0,0.0,0,-1,2526287
Nilen Varade,0.0,0.0,0,-1,2771170
Sarah Stevens,0.0,0.0,0,-1,2400745
Leonard Kleinman,0.0,0.0,0,-1,2040028
Matt Guthrie,0.0,0.0,0,-1,1743935
Arno Bohm,0.0,0.0,0,-1,1468114
Duane Dicus,0.0,0.0,0,-1,1037232
Paul Oakes,0.0,0.0,0,-1,438940
Chih Shih,0.0,0.0,0,-1,2785730
