Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.0798045602605857,3.292616720955483,921,52.46351563517915,0
Beatrice Rasmussen,2.3,3.9,64,-1,235270
Jason Slinker,3.8,2.7,62,95.122,1529104
Lamya Saleh,2.5,3.4,57,44.8276,2583057
Mustapha Ishak-Boushaki,4.9,2.1,55,100,1011121
Bing Lv,3.8,3.2,50,72.3404,2112849
Lindsay King,3.4,3.1,46,42.8571,1805053
Paul MacAlevey,2.8,3.7,39,57.8947,710748
Lloyd Lumata,3.6,2.0,38,83.3333,2055639
Michael Kolodrubetz,3.5,4.0,32,62.5,2293651
Lunjin Chen,2.8,3.1,32,42.3077,2000103
Fabiano Rodrigues,3.4,3.2,31,78.5714,1807861
Amena Khan,3.1,3.1,28,50,2233269
Kuei Sun,4.3,2.7,27,88.8889,2122961
Fan Zhang,2.7,3.2,25,55.5556,1946104
Yuri Gartstein,3.9,4.2,24,75,397055
Kaloyan Penev,2.5,4.0,21,28.5714,2342238
Russell Stoneback,1.9,3.8,20,25,797772
Xiaoyan Shi,2.8,3.1,19,36.8421,2239227
Anton Malko,1.8,4.6,18,12.5,1115042
Anvar Zakhidov,2.8,3.3,17,26.6667,258962
David Lary,3.2,1.6,17,100,1642294
Levon Davtyan,1.2,3.9,15,0,1995620
Mark Lee,3.5,3.6,15,54.5455,1902282
Gary Frazier,3.5,2.7,14,100,1836546
Massimo Fischetti,2.2,3.9,13,14.2857,2001788
Julia Hsu,2.1,4.2,12,100,1713565
Chuanwei Zhang,1.2,4.8,9,-1,1747562
John Hoffman,3.4,3.4,9,-1,1290080
Michael Kesden,4.1,3.6,9,100,1913360
Philip Anderson,3.0,3.3,9,0,1076189
Joseph Izen,5.0,3.6,8,100,990829
Catalina Boudreaux,1.1,5.0,5,-1,1763284
Greg Earle,4.3,3.4,5,-1,672355
Brian Tinsley,2.0,3.0,3,-1,1854927
Shengwang Du,3.0,3.5,2,50,2660421
Ervin Fenyves,2.3,1.0,2,-1,1059187
Peyton Polk,0.0,0.0,0,-1,2633589
andrew manikas,0.0,0.0,0,-1,2608141
Bing Liv,0.0,0.0,0,-1,2359335
Delilah Heatherly,0.0,0.0,0,-1,1193663
Rahulkumar Solanki,0.0,0.0,0,-1,2785807
