Name,Rating,Difficulty,# of Reviews,Take Again %,id
Weighted,3.038568129330254,3.4301385681293315,866,46.55022251732102,0
Carolyn Sealfon,1.6,3.8,88,12.5,2398505
Brian Wilson,2.5,3.7,71,36.6197,2175237
Pierre Savaria,1.8,4.3,51,-1.0,52232
David Harrison,2.1,4.1,45,50.0,258690
Roberto Abraham,4.7,2.2,39,100.0,181152
Salam Tawfiq,2.5,4,34,-1.0,30788
R Serbanescu,3.6,3,31,85.7143,10971
Erich Poppitz,3.6,3.7,28,57.1429,229247
Joseph Thywissen,3.8,2.7,26,50.0,417055
Amanda Peet,2.9,3.6,25,50.0,30566
Stephen Julian,4.4,3.5,24,100.0,1173578
Daniel James,4.3,3,23,91.6667,1480493
William Trischuk,3.0,2.7,22,100.0,175645
Stephen Morris,2.5,3.9,21,50.0,166998
Sajeev John,1.8,4.6,19,26.6667,178548
John Wei,2.0,3.2,19,23.0769,204032
Hae-Young Kee,2.2,3.7,19,66.6667,380413
Paul Kushner,3.6,3.6,18,69.2308,844219
Hoi-Kwong Lo,2.3,3.3,18,-1.0,321441
Marten van Kerkwijk,2.7,3.4,18,0.0,294415
John Sipe,4.4,3.5,12,100.0,458511
Jerry Mitrovica,5.0,2.6,11,-1.0,223426
Sabine Stanley,4.5,2,10,-1.0,1549898
Antonella Kis,1.6,3.9,9,0.0,2688722
Dylan Jones,4.6,2.6,8,100.0,844218
Yong Baek Kim,1.6,4.6,8,0.0,2655227
Kimberly Strong,3.8,2.4,8,-1.0,17364
Peter Krieger,3.9,2.6,8,-1.0,600765
Souami Damya,1.5,3.5,8,14.2857,2118910
David Curtin,4.0,3.8,6,66.6667,2393576
Michael Luke,4.8,3,5,100.0,2144622
Chris Lee,5.0,3.4,5,100.0,2545051
Young-June Kim,2.9,3.2,5,-1.0,1122983
David Bailey,2.5,3.6,5,100.0,1645625
Goyal Sidhartha,3.0,3.2,4,50.0,2389278
Dinushi Munasinghe,3.8,3.5,4,75.0,2662713
Vatche Deyirmenjian,1.0,3.7,3,0.0,2531679
Kausik Das,4.0,1.7,3,-1.0,1546878
Sarah Kavassalis,4.5,4,3,-1.0,1542343
Emanuel Istrate,5.0,2.5,2,100.0,2469192
Kenny Yip,5.0,3,1,100.0,2613562
Robert Orr,5.0,3,1,100.0,2485588
Natalia Krasnopolskaia,5.0,3,1,-1.0,2144620
Rachel Friesen,5.0,2,1,100.0,2714845
Ken Burch,3.0,3,1,-1.0,1810906
Amar Vutha,3.0,4,1,0.0,2706679
Arun Paramekanti,1.0,5,1,0.0,2741467
Christopher Lee,0.0,0,0,-1.0,2663932
Miriam Diamond,0.0,0,0,-1.0,2633990
Nikolina Ilic,0.0,0,0,-1.0,2682736
